t	X1	Y1
s	m	m
 16,03322411	-0,00033898	-0,01067797
 16,03830147	-0,00033898	-0,01067797
 16,04337883	-0,00033898	-0,01067797
 16,04845619	-0,00033898	-0,01067797
 16,05353165	 0,00000000	-0,01067797
 16,05860901	-0,00033898	-0,01067797
 16,06368637	 0,00000000	-0,01067797
 16,06876373	-0,00033898	-0,01033898
 16,07384109	 0,00000000	-0,01033898
 16,07891846	 0,00000000	-0,01033898
 16,08399391	 0,00000000	-0,01033898
 16,08907127	 0,00000000	-0,01033898
 16,09414864	 0,00000000	-0,01033898
 16,09922600	 0,00000000	-0,01033898
 16,10430336	 0,00000000	-0,01033898
 16,10937881	 0,00000000	-0,01033898
 16,11445618	 0,00000000	-0,01033898
 16,11953354	 0,00000000	-0,01033898
 16,12461090	 0,00000000	-0,01033898
 16,12968826	 0,00000000	-0,01033898
 16,13476563	 0,00000000	-0,01033898
 16,13984108	 0,00000000	-0,01067797
 16,14491844	 0,00000000	-0,01033898
 16,14999580	 0,00000000	-0,01033898
 16,15507317	 0,00000000	-0,01067797
 16,16015053	 0,00000000	-0,01033898
 16,16522598	 0,00000000	-0,01067797
 16,17030334	 0,00000000	-0,01033898
 16,17538071	 0,00000000	-0,01033898
 16,18045807	 0,00000000	-0,01067797
 16,18553543	 0,00000000	-0,01067797
 16,19061279	 0,00000000	-0,01067797
 16,19568825	 0,00000000	-0,01067797
 16,20076561	 0,00000000	-0,01067797
 16,20584297	 0,00000000	-0,01067797
 16,21092033	 0,00000000	-0,01067797
 16,21599770	 0,00000000	-0,01101695
 16,22107506	 0,00000000	-0,01101695
 16,22615051	 0,00000000	-0,01101695
 16,23122787	 0,00000000	-0,01101695
 16,23630524	 0,00000000	-0,01101695
 16,24138260	 0,00000000	-0,01101695
 16,24645996	 0,00000000	-0,01101695
 16,25153542	 0,00000000	-0,01101695
 16,25661278	 0,00000000	-0,01101695
 16,26169014	 0,00000000	-0,01135593
 16,26676750	 0,00000000	-0,01135593
 16,27184486	 0,00000000	-0,01135593
 16,27692223	 0,00000000	-0,01135593
 16,28199768	 0,00000000	-0,01135593
 16,28707504	 0,00000000	-0,01135593
 16,29215240	 0,00000000	-0,01135593
