Time	Channel A
(us)	(V)

-28.05599900	-0.06403790
-28.05399900	-0.06299213
-28.05199900	-0.06299213
-28.04999900	-0.06403790
-28.04799900	-0.06403790
-28.04599900	-0.06403790
-28.04399900	-0.06508366
-28.04199900	-0.06619094
-28.03999900	-0.06508366
-28.03799900	-0.06403790
-28.03599900	-0.06403790
-28.03399900	-0.06299213
-28.03199900	-0.06299213
-28.02999900	-0.06299213
-28.02799900	-0.06299213
-28.02599900	-0.06188484
-28.02399900	-0.06299213
-28.02199900	-0.06403790
-28.01999900	-0.06299213
-28.01799900	-0.06299213
-28.01599900	-0.06188484
-28.01399900	-0.06083908
-28.01199900	-0.05979331
-28.00999900	-0.05979331
-28.00799900	-0.06083908
-28.00599900	-0.06083908
-28.00399900	-0.06083908
